display_name,centroid_lat,centroid_long,radius
Barnstaple,51.079481,-4.043745,11.833299
Hull,53.759952,-0.321137,33.072000
Bootle,53.454778,-2.989993,1.842000
Bromford,52.504385,-1.808050,1.099000
Docklands,51.508744,-0.015813,4.051000
Cotham,51.464496,-2.595185,1.036000
Heathrow,51.478320,-0.417619,5.366000
Chesser,55.929507,-3.248063,0.612000
Farsley,53.809972,-1.670328,0.892000
Lothian Road,55.946172,-3.204314,0.167000
Tooting Bec,51.429519,-0.157196,1.245000
Chadwell Heath,51.571262,0.130492,0.991000
Aston,52.503056,-1.891335,1.349000
Kingshurst,52.492652,-1.752338,0.541000
Whitchurch,51.412251,-2.568683,1.289000
Ormeau Road,54.579163,-5.921044,0.798000
Craigleith,55.957865,-3.238156,1.022000
Mill Hill,51.612902,-0.245068,2.199000
Kentish Town,51.550466,-0.141061,0.824000
Manchester City Centre,53.480411,-2.239651,1.694000
Highbury,51.550631,-0.098256,1.069000
Handsworth Wood,52.515405,-1.926321,1.531000
Cradley Heath,52.472765,-2.069738,1.612000
Pentwyn,51.525411,-3.148869,0.740000
Lace Market,52.952240,-1.142895,0.256000
Colliers Wood,51.414128,-0.175776,1.046000
Whitchurch,51.511329,-3.217099,1.753000
Buckstone,55.906854,-3.201124,0.604000
Stirchley,52.428641,-1.918157,0.928000
West London,51.506936,-0.339653,10.737000
Victoria,51.493987,-0.138520,0.955000
Edgbaston,52.473465,-1.932256,3.811000
Romford,51.579975,0.179224,4.014000
Leeds City Centre,53.797899,-1.548119,1.904000
Harborne,52.455230,-1.958250,2.175000
Battlefield,55.824292,-4.265381,0.594000
Heaton Mersey,53.413741,-2.200173,0.885000
Stoke Bishop,51.481388,-2.635539,1.066000
Pleasance,55.945568,-3.180729,0.354000
Willesden,51.544867,-0.232650,1.647000
Hackney,51.546656,-0.065439,1.938000
Pontprennau,51.532776,-3.141932,0.943000
Lochend,55.961996,-3.155746,0.649000
Barton Hill,51.454884,-2.562353,0.447000
Mount Florida,55.826225,-4.257715,0.358000
Edgeley,53.402074,-2.170697,0.570000
Penilee,55.850735,-4.369435,0.711000
Camden,51.534763,-0.131537,3.309000
Sighthill,55.921404,-3.283638,1.220000
Weoley Castle,52.436183,-1.970124,0.949000
Longsight,53.453705,-2.200690,1.257000
Vauxhall,51.479292,-0.122628,1.304000
Kilburn,51.542400,-0.203971,1.871000
Bedminster Down,51.426340,-2.612768,0.486000
Openshaw,53.472832,-2.170559,1.585000
Plymouth,50.385415,-4.118450,12.854000
Knowle Park,51.429010,-2.571476,0.417000
West Pilton,55.971186,-3.245746,0.511000
Dollis Hill,51.554190,-0.233981,1.091000
New Basford,52.974335,-1.166797,0.541000
Whinmoor,53.828183,-1.453323,1.320000
Partick,55.871566,-4.308305,1.120000
Washwood Heath,52.492135,-1.840311,1.616000
Moston,53.510973,-2.199512,0.966000
Hampstead,51.551727,-0.177301,1.776000
Culverhouse Cross,51.471610,-3.263377,0.887000
Polwarth,55.937850,-3.219492,0.435000
Gorbals,55.847892,-4.248917,0.859000
Riverside,51.478347,-3.191443,0.615000
Sutton Coldfield,52.551843,-1.836142,5.815000
Merchiston,55.936237,-3.215344,0.755000
Gabalfa,51.501509,-3.200933,1.774000
East Dulwich,51.457296,-0.070290,1.223000
Kennington,51.484984,-0.105491,1.009000
Raynes Park,51.406921,-0.227254,1.438000
Canning Circus,52.956041,-1.162665,0.180000
Eltham,51.450011,0.051414,1.647000
Bishopsworth,51.413323,-2.619003,1.091000
Acocks Green,52.446122,-1.823935,1.279000
Aigburth,53.377943,-2.945735,1.431000
Blackhall,55.958558,-3.255037,1.448000
Birmingham,52.477684,-1.903863,7.660000
Liverpool,53.404991,-2.930820,12.153000
Clarence Dock,53.789667,-1.529543,0.014000
Gants Hill,51.577031,0.069996,1.174000
Mapperley Park,52.968416,-1.146630,0.638000
Sydenham,54.604297,-5.880885,0.652000
Royston,55.868874,-4.225449,0.610000
Wilmslow,53.333408,-2.228528,2.114586
Springburn,55.884045,-4.229829,1.416000
Old Trafford,53.458672,-2.267180,1.500000
Southampton,50.908778,-1.381874,20.026000
Rothwell,53.751279,-1.480564,2.128000
Golders Green,51.575545,-0.200717,1.121000
Leatherhead,51.289450,-0.368270,5.019976
Brighouse,53.702483,-1.784124,1.771623
Coalville,52.722342,-1.367579,5.532929
Redhill,51.237493,-0.157994,4.286404
Airdrie,55.867689,-3.961648,5.103568
Glossop,53.448563,-1.965059,6.439388
Chorley,53.656181,-2.636161,5.228855
Deal,51.216597,1.385769,4.778508
Whitstable,51.353584,1.034978,3.369260
